2000026778 = Verdict: Unsolved ; Iters: 4966508 ; Length: -1
2006145406 = Verdict: Solved ; Iters: 563860 ; Length: 114
2006154659 = Verdict: Solved ; Iters: 956251 ; Length: 148
2006154730 = Verdict: Solved ; Iters: 10936591 ; Length: 249
2006165708 = Verdict: Unsolved ; Iters: 1065186 ; Length: -1
2006169166 = Verdict: Unsolved ; Iters: 2042500 ; Length: -1
2006248602 = Verdict: Unsolved ; Iters: 393428 ; Length: -1
2006358233 = Verdict: Unsolved ; Iters: 4244194 ; Length: -1
2006372344 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2006404621 = Verdict: Unsolved ; Iters: 10326530 ; Length: -1
2006434336 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2006446228 = Verdict: Unsolved ; Iters: 12424352 ; Length: -1
2006551508 = Verdict: Unsolved ; Iters: 10029071 ; Length: -1
2006561796 = Verdict: Solved ; Iters: 373672 ; Length: 125
2006584641 = Verdict: Unsolved ; Iters: 2512938 ; Length: -1
2006594227 = Verdict: Unsolved ; Iters: 12532784 ; Length: -1
2006636366 = Verdict: Unsolved ; Iters: 3666375 ; Length: -1
2006668169 = Verdict: Solved ; Iters: 4926015 ; Length: 135
2006877726 = Verdict: Unsolved ; Iters: 13576763 ; Length: -1
2006971511 = Verdict: Unsolved ; Iters: 3120258 ; Length: -1
2006975761 = Verdict: Unsolved ; Iters: 447273 ; Length: -1
2007035008 = Verdict: Unsolved ; Iters: 8884975 ; Length: -1
2007177871 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2007220214 = Verdict: Solved ; Iters: 484864 ; Length: 138
2007302181 = Verdict: Unsolved ; Iters: 821886 ; Length: -1
2007324420 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2007344318 = Verdict: Solved ; Iters: 11111784 ; Length: 122
2007381940 = Verdict: Unsolved ; Iters: 6224976 ; Length: -1
2007394149 = Verdict: Unsolved ; Iters: 9154212 ; Length: -1
2007394430 = Verdict: Solved ; Iters: 23341 ; Length: 130
2007599958 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2007623893 = Verdict: Solved ; Iters: 2953986 ; Length: 133
2007697055 = Verdict: Unsolved ; Iters: 1468553 ; Length: -1
2007799839 = Verdict: Unsolved ; Iters: 2391347 ; Length: -1
2008002286 = Verdict: Unsolved ; Iters: 7583345 ; Length: -1
2008027659 = Verdict: Solved ; Iters: 9189393 ; Length: 119
2008060028 = Verdict: Unsolved ; Iters: 466518 ; Length: -1
2008120199 = Verdict: Solved ; Iters: 16182 ; Length: 127
2008214665 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2008289199 = Verdict: Unsolved ; Iters: 3832070 ; Length: -1
2008299679 = Verdict: Unsolved ; Iters: 7256096 ; Length: -1
2008335256 = Verdict: Unsolved ; Iters: 276078 ; Length: -1
2008497600 = Verdict: Solved ; Iters: 131676 ; Length: 110
2008574173 = Verdict: Unsolved ; Iters: 19711353 ; Length: -1
2008640534 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2008656486 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2008672822 = Verdict: Solved ; Iters: 1400299 ; Length: 130
2008813310 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2008951120 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2008982981 = Verdict: Unsolved ; Iters: 1110464 ; Length: -1
2009213407 = Verdict: Unsolved ; Iters: 1564351 ; Length: -1
2009233304 = Verdict: Unsolved ; Iters: 1327595 ; Length: -1
2009261280 = Verdict: Unsolved ; Iters: 8620011 ; Length: -1
2009320540 = Verdict: Solved ; Iters: 816389 ; Length: 118
2009340400 = Verdict: Solved ; Iters: 19889 ; Length: 132
2009394331 = Verdict: Unsolved ; Iters: 1566315 ; Length: -1
2009423228 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2009435644 = Verdict: Solved ; Iters: 847793 ; Length: 115
2009438153 = Verdict: Unsolved ; Iters: 2222420 ; Length: -1
2009438284 = Verdict: Unsolved ; Iters: 6890540 ; Length: -1
2009467753 = Verdict: Unsolved ; Iters: 2830904 ; Length: -1
2009479443 = Verdict: Unsolved ; Iters: 5532118 ; Length: -1
2009481733 = Verdict: Solved ; Iters: 6389885 ; Length: 120
2009504833 = Verdict: Unsolved ; Iters: 809339 ; Length: -1
2009530780 = Verdict: Unsolved ; Iters: 2027146 ; Length: -1
2009619853 = Verdict: Unsolved ; Iters: 247568 ; Length: -1
2009678125 = Verdict: Solved ; Iters: 5270533 ; Length: 137
2009678337 = Verdict: Unsolved ; Iters: 3808239 ; Length: -1
2009703010 = Verdict: Unsolved ; Iters: 4120520 ; Length: -1
2009748834 = Verdict: Unsolved ; Iters: 1442396 ; Length: -1
2009810417 = Verdict: Unsolved ; Iters: 482656 ; Length: -1
2009835072 = Verdict: Unsolved ; Iters: 638968 ; Length: -1
2009842559 = Verdict: Unsolved ; Iters: 13405162 ; Length: -1
2009872486 = Verdict: Solved ; Iters: 246416 ; Length: 107
2009883242 = Verdict: Unsolved ; Iters: 5622822 ; Length: -1
2009924559 = Verdict: Unsolved ; Iters: 4299790 ; Length: -1
2009928592 = Verdict: Solved ; Iters: 470296 ; Length: 120
2009936529 = Verdict: Unsolved ; Iters: 59896 ; Length: -1
2009947339 = Verdict: Solved ; Iters: 396598 ; Length: 124
2010056448 = Verdict: Unsolved ; Iters: 1430739 ; Length: -1
2010363508 = Verdict: Unsolved ; Iters: 2119704 ; Length: -1
2010387342 = Verdict: Unsolved ; Iters: 11125952 ; Length: -1
2010393525 = Verdict: Unsolved ; Iters: 1360814 ; Length: -1
2010438407 = Verdict: Solved ; Iters: 763856 ; Length: 150
2010454861 = Verdict: Solved ; Iters: 368656 ; Length: 142
2010503684 = Verdict: Unsolved ; Iters: 2575104 ; Length: -1
2010581030 = Verdict: Unsolved ; Iters: 4775441 ; Length: -1
2010600114 = Verdict: Unsolved ; Iters: 1409774 ; Length: -1
2010624659 = Verdict: Unsolved ; Iters: 209337 ; Length: -1
2010644813 = Verdict: Unsolved ; Iters: 4110899 ; Length: -1
2010751762 = Verdict: Unsolved ; Iters: 13247746 ; Length: -1
2010768965 = Verdict: Solved ; Iters: 1937786 ; Length: 129
2010823710 = Verdict: Solved ; Iters: 1849409 ; Length: 115
2011012841 = Verdict: Solved ; Iters: 1769515 ; Length: 128
2011042441 = Verdict: Unsolved ; Iters: 2824410 ; Length: -1
2011098311 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2011134487 = Verdict: Unsolved ; Iters: 4941604 ; Length: -1
2011161023 = Verdict: Solved ; Iters: 2293872 ; Length: 126
2011259846 = Verdict: Unsolved ; Iters: 5317265 ; Length: -1
2011335399 = Verdict: Unsolved ; Iters: 6544831 ; Length: -1
2011379595 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2011406201 = Verdict: Unsolved ; Iters: 8377476 ; Length: -1
2011410999 = Verdict: Unsolved ; Iters: 981635 ; Length: -1
2011432373 = Verdict: Unsolved ; Iters: 5261137 ; Length: -1
2011456737 = Verdict: Unsolved ; Iters: 7167240 ; Length: -1
2011461018 = Verdict: Unsolved ; Iters: 1545326 ; Length: -1
2011475277 = Verdict: Unsolved ; Iters: 1243537 ; Length: -1
2011528122 = Verdict: Unsolved ; Iters: 39376 ; Length: -1
2011580614 = Verdict: Unsolved ; Iters: 3614128 ; Length: -1
2011650551 = Verdict: Solved ; Iters: 261394 ; Length: 124
2011739073 = Verdict: Unsolved ; Iters: 1973904 ; Length: -1
2011755852 = Verdict: Solved ; Iters: 671654 ; Length: 155
2011762899 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2011898205 = Verdict: Solved ; Iters: 6004413 ; Length: 142
2011898427 = Verdict: Solved ; Iters: 2488028 ; Length: 139
2011926277 = Verdict: Unsolved ; Iters: 15048795 ; Length: -1
2011977177 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2011993822 = Verdict: Unsolved ; Iters: 17500307 ; Length: -1
2011996874 = Verdict: Unsolved ; Iters: 124838 ; Length: -1
2012054190 = Verdict: Unsolved ; Iters: 16166759 ; Length: -1
2012110862 = Verdict: Solved ; Iters: 94979 ; Length: 205
2012118927 = Verdict: Unsolved ; Iters: 2082590 ; Length: -1
2012269112 = Verdict: Solved ; Iters: 244444 ; Length: 123
2012298369 = Verdict: Unsolved ; Iters: 2919541 ; Length: -1
2012299229 = Verdict: Unsolved ; Iters: 6275629 ; Length: -1
2012304005 = Verdict: Unsolved ; Iters: 2141108 ; Length: -1
2012372169 = Verdict: Unsolved ; Iters: 7471825 ; Length: -1
2012384823 = Verdict: Solved ; Iters: 4894829 ; Length: 132
2012387309 = Verdict: Unsolved ; Iters: 10516048 ; Length: -1
2012392028 = Verdict: Unsolved ; Iters: 2074240 ; Length: -1
2012393726 = Verdict: Unsolved ; Iters: 10667836 ; Length: -1
2012471561 = Verdict: Unsolved ; Iters: 2468396 ; Length: -1
2012500878 = Verdict: Unsolved ; Iters: 12432013 ; Length: -1
2012543778 = Verdict: Unsolved ; Iters: 1222017 ; Length: -1
2012610806 = Verdict: Unsolved ; Iters: 15717858 ; Length: -1
2012735904 = Verdict: Unsolved ; Iters: 2404010 ; Length: -1
2012790369 = Verdict: Solved ; Iters: 2967525 ; Length: 122
2012815203 = Verdict: Unsolved ; Iters: 2601314 ; Length: -1
2012870981 = Verdict: Unsolved ; Iters: 244465 ; Length: -1
2013000828 = Verdict: Unsolved ; Iters: 1095858 ; Length: -1
2013002733 = Verdict: Unsolved ; Iters: 3636340 ; Length: -1
2013035673 = Verdict: Unsolved ; Iters: 5832303 ; Length: -1
2013084039 = Verdict: Unsolved ; Iters: 659971 ; Length: -1
2013122074 = Verdict: Solved ; Iters: 300918 ; Length: 132
2013171608 = Verdict: Unsolved ; Iters: 4468464 ; Length: -1
2013187832 = Verdict: Solved ; Iters: 589000 ; Length: 125
2013225028 = Verdict: Unsolved ; Iters: 5028688 ; Length: -1
2013283163 = Verdict: Unsolved ; Iters: 3505546 ; Length: -1
2013297658 = Verdict: Unsolved ; Iters: 2936618 ; Length: -1
2013324011 = Verdict: Solved ; Iters: 690748 ; Length: 122
2013334976 = Verdict: Unsolved ; Iters: 8814685 ; Length: -1
2013343076 = Verdict: Solved ; Iters: 130216 ; Length: 110
2013389234 = Verdict: Unsolved ; Iters: 1629273 ; Length: -1
2013404746 = Verdict: Solved ; Iters: 15726254 ; Length: 106
2013417315 = Verdict: Unsolved ; Iters: 2439509 ; Length: -1
2013437053 = Verdict: Solved ; Iters: 861329 ; Length: 145
2013504197 = Verdict: Unsolved ; Iters: 3593838 ; Length: -1
2013512625 = Verdict: Unsolved ; Iters: 9755604 ; Length: -1
2013515279 = Verdict: Unsolved ; Iters: 4861637 ; Length: -1
2013521988 = Verdict: Solved ; Iters: 1475432 ; Length: 137
2013543670 = Verdict: Solved ; Iters: 34788 ; Length: 124
2013588104 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2013589798 = Verdict: Solved ; Iters: 812860 ; Length: 138
2013616555 = Verdict: Solved ; Iters: 2269014 ; Length: 145
2013703561 = Verdict: Unsolved ; Iters: 9474508 ; Length: -1
2013705171 = Verdict: Solved ; Iters: 16599956 ; Length: 134
2013966994 = Verdict: Solved ; Iters: 128326 ; Length: 124
2013996577 = Verdict: Solved ; Iters: 2633429 ; Length: 135
2014026736 = Verdict: Unsolved ; Iters: 10899442 ; Length: -1
2014033846 = Verdict: Unsolved ; Iters: 7016076 ; Length: -1
2014062939 = Verdict: Unsolved ; Iters: 1862674 ; Length: -1
2014089929 = Verdict: Solved ; Iters: 703353 ; Length: 137
2014091907 = Verdict: Unsolved ; Iters: 1692680 ; Length: -1
2014103593 = Verdict: Unsolved ; Iters: 371180 ; Length: -1
2014108134 = Verdict: Unsolved ; Iters: 1109844 ; Length: -1
2014143501 = Verdict: Solved ; Iters: 63873 ; Length: 138
2014229988 = Verdict: Solved ; Iters: 170657 ; Length: 132
2014277739 = Verdict: Unsolved ; Iters: 614417 ; Length: -1
2014283119 = Verdict: Unsolved ; Iters: 1946592 ; Length: -1
2014455762 = Verdict: Unsolved ; Iters: 3509626 ; Length: -1
2014507416 = Verdict: Solved ; Iters: 2046894 ; Length: 127
2014528635 = Verdict: Unsolved ; Iters: 124412 ; Length: -1
2014531744 = Verdict: Unsolved ; Iters: 6035793 ; Length: -1
2014557275 = Verdict: Unsolved ; Iters: 1163746 ; Length: -1
2014615673 = Verdict: Solved ; Iters: 345393 ; Length: 121
2014662616 = Verdict: Solved ; Iters: 2970 ; Length: 104
2014695390 = Verdict: Unsolved ; Iters: 3075799 ; Length: -1
2014711244 = Verdict: Unsolved ; Iters: 1386066 ; Length: -1
2014828012 = Verdict: Unsolved ; Iters: 3520801 ; Length: -1
2014872491 = Verdict: Unsolved ; Iters: 6157432 ; Length: -1
2014876914 = Verdict: Unsolved ; Iters: 435939 ; Length: -1
2014884099 = Verdict: Solved ; Iters: 80888 ; Length: 160
2014940045 = Verdict: Solved ; Iters: 3525564 ; Length: 117
2014980071 = Verdict: Unsolved ; Iters: 592704 ; Length: -1
2014997522 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2015149225 = Verdict: Unsolved ; Iters: 8567677 ; Length: -1
2015168251 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2015209983 = Verdict: Solved ; Iters: 4552908 ; Length: 126
2015240264 = Verdict: Unsolved ; Iters: 1363260 ; Length: -1
2015247981 = Verdict: Unsolved ; Iters: 1880201 ; Length: -1
2015288185 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2015353207 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2015468375 = Verdict: Unsolved ; Iters: 851522 ; Length: -1
2015480680 = Verdict: Solved ; Iters: 7726175 ; Length: 129
2015495845 = Verdict: Unsolved ; Iters: 4500797 ; Length: -1
2015587670 = Verdict: Unsolved ; Iters: 6600916 ; Length: -1
2015589079 = Verdict: Solved ; Iters: 1447527 ; Length: 131
2015643609 = Verdict: Unsolved ; Iters: 7537954 ; Length: -1
2015667669 = Verdict: Solved ; Iters: 4645500 ; Length: 149
2015740333 = Verdict: Solved ; Iters: 2407315 ; Length: 127
2015816338 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2015831311 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2015918593 = Verdict: Solved ; Iters: 285258 ; Length: 144
2015940500 = Verdict: Solved ; Iters: 4364290 ; Length: 127
2015975791 = Verdict: Unsolved ; Iters: 9720680 ; Length: -1
2015994602 = Verdict: Solved ; Iters: 11895 ; Length: 119
2015998354 = Verdict: Unsolved ; Iters: 11436690 ; Length: -1
2016018480 = Verdict: Unsolved ; Iters: 7307375 ; Length: -1
2016167668 = Verdict: Solved ; Iters: 2583 ; Length: 112
2016181855 = Verdict: Unsolved ; Iters: 3368462 ; Length: -1
2016205194 = Verdict: Solved ; Iters: 146470 ; Length: 139
2016253522 = Verdict: Solved ; Iters: 3275315 ; Length: 153
2016287730 = Verdict: Unsolved ; Iters: 7656426 ; Length: -1
2016358094 = Verdict: Solved ; Iters: 553804 ; Length: 122
2016376542 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2016386727 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2016395687 = Verdict: Unsolved ; Iters: 3013407 ; Length: -1
2016469809 = Verdict: Unsolved ; Iters: 640117 ; Length: -1
2016492852 = Verdict: Unsolved ; Iters: 1351571 ; Length: -1
2016506111 = Verdict: Unsolved ; Iters: 1723057 ; Length: -1
2016517282 = Verdict: Solved ; Iters: 993785 ; Length: 115
2016549765 = Verdict: Solved ; Iters: 492803 ; Length: 152
2016680217 = Verdict: Unsolved ; Iters: 6863903 ; Length: -1
2016718601 = Verdict: Unsolved ; Iters: 5381739 ; Length: -1
2016744945 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2016830753 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2016867988 = Verdict: Unsolved ; Iters: 2989434 ; Length: -1
2016892093 = Verdict: Unsolved ; Iters: 2907469 ; Length: -1
2016899710 = Verdict: Unsolved ; Iters: 9670147 ; Length: -1
2016918757 = Verdict: Solved ; Iters: 48669 ; Length: 135
2017096462 = Verdict: Unsolved ; Iters: 3212236 ; Length: -1
2017151242 = Verdict: Unsolved ; Iters: 7899285 ; Length: -1
2017171892 = Verdict: Solved ; Iters: 2422791 ; Length: 143
2017230843 = Verdict: Unsolved ; Iters: 6241666 ; Length: -1
2017273058 = Verdict: Solved ; Iters: 27988 ; Length: 131
2017274480 = Verdict: Unsolved ; Iters: 6666069 ; Length: -1
2017284782 = Verdict: Unsolved ; Iters: 11087116 ; Length: -1
2017290682 = Verdict: Unsolved ; Iters: 1114307 ; Length: -1
2017297003 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2017335696 = Verdict: Unsolved ; Iters: 1752523 ; Length: -1
2017335877 = Verdict: Unsolved ; Iters: 1171004 ; Length: -1
2017393331 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2017575040 = Verdict: Unsolved ; Iters: 1799172 ; Length: -1
2017616183 = Verdict: Unsolved ; Iters: 4013110 ; Length: -1
2017656040 = Verdict: Solved ; Iters: 597020 ; Length: 133
2017683444 = Verdict: Solved ; Iters: 10813 ; Length: 112
2017886065 = Verdict: Unsolved ; Iters: 5644 ; Length: -1
2017901169 = Verdict: Unsolved ; Iters: 1476385 ; Length: -1
2017904673 = Verdict: Solved ; Iters: 2360183 ; Length: 137
2017995668 = Verdict: Unsolved ; Iters: 9006465 ; Length: -1
2018056184 = Verdict: Unsolved ; Iters: 11904918 ; Length: -1
2018209130 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2018236514 = Verdict: Solved ; Iters: 5080045 ; Length: 118
2018269295 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2018281738 = Verdict: Solved ; Iters: 1453862 ; Length: 130
2018324141 = Verdict: Unsolved ; Iters: 6128400 ; Length: -1
2018338287 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2018343771 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2018360179 = Verdict: Unsolved ; Iters: 5172651 ; Length: -1
2018448727 = Verdict: Solved ; Iters: 12218513 ; Length: 273
2018485776 = Verdict: Solved ; Iters: 11410971 ; Length: 120
2018558577 = Verdict: Solved ; Iters: 523469 ; Length: 132
